Employee Number, Last Name, First Name, Birthday
10001, Garcia, Manuel III, 10/11/1983	
10002, Lim, Antonio, 06/19/1988
10003, Aquino, Bianca Sofia, 08/04/1989
10004, Reyes, Isabella, 06/16/1994
10005, Hernandez, Eduard, 09/23/1989
10006, Villanueva, Andrea Mae, 02/14/1988
10007, San Jose, Brad, 03/15/1996
10008, Romualdez, Alice, 05/14/1992
10009, Atienza, Rosie, 09/24/1948
10010, Alvaro, Roderick, 03/30/1988
10011, Salcedo, Anthony, 09/14/1993
10012, Lopez, Josie, 01/14/1987
10013, Farala, Martha, 01/11/1942
10014, Martinez, Leila, 07/11/1970
10015, Romualde, Fredrick, 03/10/1985
10016, Mata, Christian, 10/21/1987
10017, De Leon, Selena, 02/20/1975
10018, San Jose, Allison, 06/24/1986
10019, Rosario, Cydney, 10/06/1996
10020, Bautista, Mark, 02/12/1991
10021, Lazar, Darlene, 11/25/1985
10022, Delos Santos, Kolby, 02/26/1980
10023, Santos, Vella, 12/31/1983
10024, Del Rosario, Tomas, 12/18/1978
10025, Tolentino, Jacklyn,05/19/1984
10026, Gutierrez, Percival, 12/18/1970
10027, Manalaysay, Garfield, 08/28/1986
10028, Villegas, Lizeth, 12/12/1981
10029, Ramos, Carol, 08/20/1978
10030, Maceda, Emelia, 04/14/1973
10031, Aguilar, Delia, 01/27/1989
10032, Castro, John Rafael, 02/09/1992
10033, Martinez, Carlos Ian, 11/16/1990
10034, Santos, Beatriz, 08/07/1990
